file,category,type,timestamp,caption,
C:/Users/User/Dropbox/rcode2/makehtml/data-raw/result/schaef.csv,Fishery,table,2020-06-04 13:54:55,Schaefer's original 1957 Yellowfin Tuna fishery data., 
C:/Users/User/Dropbox/rcode2/makehtml/data-raw/result/egtable.csv,Fishery,table,2020-06-04 13:54:55,A second example table, 
C:/Users/User/Dropbox/rcode2/makehtml/data-raw/result/Schaefer_Fisherydatarunone.png,Schaefer,plot,2020-06-04 13:54:55,The Schaefer Yellowfin tuna fishery data from 1957., 
C:/Users/User/Dropbox/rcode2/makehtml/data-raw/result/Schaefer_Effortdatarunone.png,Effort,plot,2020-06-04 13:54:56,The Schaefer Yellowfin tuna effort data from 1957., 
